"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist","=""19-1013""","20.7","21.8","1.1","5.4","1.7","71,410","Bachelor's degree","3","None","4","None","6"
"Solar photovoltaic installers    * PV Installer* PV Panel Installer* Photovoltaic (PV) Installation Technician* Solar PV Installer","=""47-2231""","28.6","40.6","12.0","42.1","4.1","51,860","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Sound engineering technicians    * Audio Recording Engineer* Disc Recordist* Dub Room Engineer* Film Sound Engineer* Play Back Operator* Recording Engineer* Sound Assistant* Sound Cutter* Sound Designer* Sound Editor* Sound Effects Technician","=""27-4014""","16.9","16.6","-0.3","-1.7","1.2","66,430","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Special education teachers, all other    * Special Education Teacher for Adults with Disabilities","=""25-2059""","41.0","41.5","0.4","1.1","2.9","67,430","Bachelor's degree","3","None","4","None","6"
"Special education teachers, kindergarten and elementary school","=""25-2052""","230.2","226.1","-4.1","-1.8","15.4","63,000","Bachelor's degree","3","None","4","None","6"
"Special education teachers, middle school    * Junior High School Special Education Teacher* Middle School Special Education Teacher","=""25-2057""","94.8","93.0","-1.8","-1.9","6.3","64,880","Bachelor's degree","3","None","4","None","6"
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Education Intervention Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher","=""25-2051""","29.3","29.7","0.4","1.4","2.1","62,190","Bachelor's degree","3","None","4","None","6"
"Special education teachers, secondary school    * High School Special Education Resource Teacher","=""25-2058""","164.2","161.5","-2.6","-1.6","11.1","69,590","Bachelor's degree","3","None","4","None","6"
"Special effects artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist","=""27-1014""","57.1","58.0","0.9","1.6","5.0","99,800","Bachelor's degree","3","None","4","None","6"
"Speech-language pathologists    * Language Pathologist* Public School Speech Clinician* Public School Speech Therapist* Speech Clinician* Speech Pathologist* Speech Therapist* Speech and Language Specialist","=""29-1127""","187.4","215.5","28.2","15.0","13.3","95,410","Master's degree","2","None","4","Internship/residency","1"
"Stationary engineers and boiler operators    * Boiler Engineer* Boiler Operator* Boiler Plant Operator* Boiler Room Operator* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator* High Pressure Boiler Operator","=""51-8021""","33.3","34.0","0.7","2.2","3.8","75,190","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk","=""43-9111""","6.5","6.3","-0.2","-2.5","0.8","51,440","Bachelor's degree","3","None","4","None","6"
"Statisticians    * Analytical Statistician* Applied Statistician* Biometrician* Biostatistician* Environmental Statistician* Mathematical Statistician* Research Biostatistician* Sampling Expert* Statistical Analyst* Statistical Reporting Analyst* Survey Statistician* Time Study Statistician","=""15-2041""","32.2","34.9","2.7","8.5","2.0","103,300","Master's degree","2","None","4","None","6"
"Stockers and order fillers    * Grocery Stocker* Night Stocker* Retail Stocker* Store Stocker* Warehouse Stocker","=""53-7065""","2,764.8","2,999.8","235.0","8.5","472.3","37,090","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Stonemasons    * Banker Mason* Curbstone Setter* Granite Setter* Memorial Mason* Monument Mason* Rock Mason* Stone Chimney Mason* Stone Layer","=""47-2022""","12.1","11.8","-0.4","-3.0","0.8","51,990","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Structural iron and steel workers    * Bridge Ironworker* Construction Ironworker* Iron Guardrail Installer* Metal Tank Erector* Ornamental Ironworker* Pre-Engineered Metal Building Ironworker* Precast Concrete Ironworker* Steel Fabricator* Steel Fitter* Structural Steel Erector* Wind Turbine Erector","=""47-2221""","65.7","68.6","2.9","4.4","5.5","62,700","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Structural metal fabricators and fitters    * Mill Beam Fitter* Protector Plate Attacher","=""51-2041""","53.8","45.0","-8.8","-16.3","4.1","49,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Substance abuse, behavioral disorder, and mental health counselors","=""21-1018""","483.5","564.6","81.0","16.8","48.3","59,190","Master's degree","2","None","4","Internship/residency","1"
"Substitute teachers, short-term    * Elementary School Substitute Teacher* English Substitute Teacher","=""25-3031""","510.1","518.5","8.4","1.6","61.1","38,470","Bachelor's degree","3","None","4","None","6"
"Subway and streetcar operators    * Light Rail Operator* Light Rail Transit Operator* Light Rail Vehicle Operator* Rapid Transit Operator* Subway Conductor* Subway Train Operator* Tram Operator* Trolley Car Operator","=""53-4041""","9.6","9.9","0.3","3.4","0.9","84,830","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Surgeons, all other    * Aviation Medicine Specialist* Brain Surgeon* Cardiac Surgeon* Cardiovascular Surgeon* Colorectal Surgeon* Neurological Surgeon* Neurosurgeon* Otolaryngologist* Plastic Surgeon* Reconstructive Surgeon* Surgical Oncologist* Thoracic Surgeon* Urologist* Vascular Surgeon","=""29-1249""","25.1","26.0","1.0","3.9","0.6",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Surgical assistants    * Surgical First Assistant","=""29-9093""","25.3","26.6","1.3","5.1","1.6","60,290","Postsecondary nondegree award","5","None","4","None","6"
"Surgical technologists    * Certified Surgical Technologist* OR Tech* Operating Room Technician* Surgical Scrub Technologist","=""29-2055""","115.6","120.8","5.2","4.5","7.0","62,830","Postsecondary nondegree award","5","None","4","None","6"
"Survey researchers    * Pollster* Survey Methodologist* Survey Questionnaire Designer","=""19-3022""","8.8","8.3","-0.5","-5.2","0.7","63,380","Master's degree","2","None","4","None","6"
"Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician","=""17-3031""","59.4","62.1","2.7","4.5","7.6","51,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor","=""17-1022""","56.1","58.6","2.5","4.4","3.9","72,740","Bachelor's degree","3","None","4","Internship/residency","1"
"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator","=""43-2011""","36.6","27.0","-9.6","-26.3","2.8","38,370","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker","=""51-6052""","38.8","37.1","-1.7","-4.5","5.0","40,860","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Tank car, truck, and ship loaders    * Barge Loader* Bulk Tank Car Unloader* Dock Loader* Rail Car Loader* Rail Loader* Ship Unloader* Tank Car Loader* Tank Truck Loader","=""53-7121""","12.0","12.5","0.5","4.3","1.3","58,070","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Tapers    * Drywall Taper* Sheet Rock Taper* Wall Taper","=""47-2082""","15.6","15.6","0.0","0.1","1.1","64,700","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer","=""13-2081""","57.6","56.5","-1.0","-1.8","4.3","59,740","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Tax preparers    * Corporate Tax Preparer* Income Tax Advisor* Income Tax Preparer* Licensed Tax Consultant* Tax Consultant* Tax Specialist","=""13-2082""","90.6","94.7","4.1","4.5","10.4","50,560","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Taxi drivers    * Cab Driver* Rideshare Cab Driver","=""53-3054""","204.0","226.6","22.6","11.1","22.6","36,220","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Teachers and instructors, all other    * Sunday School Teacher","=""25-3099""","153.8","153.5","-0.2","-0.1","18.0","64,690","Bachelor's degree","3","None","4","None","6"
"Teaching assistants, except postsecondary","=""25-9045""","1,422.8","1,401.7","-21.1","-1.5","170.4","35,240","Some college, no degree","6","None","4","None","6"
"Teaching assistants, postsecondary    * Assistant Instructor* College Biology Teaching Assistant* University Teaching Assistant","=""25-9044""","193.6","199.6","6.0","3.1","24.6","44,930","Bachelor's degree","3","None","4","None","6"
"Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Specifications Writer* Technical Communicator","=""27-3042""","56.4","56.9","0.5","0.9","4.5","91,670","Bachelor's degree","3","Less than 5 years","2","Short-term on-the-job training","5"
"Telecommunications equipment installers and repairers, except line installers    * Communications Equipment Installer* Fiber Optic Central Office Installer* Headend Technician* Private Branch Exchange (PBX ) Installer and Repairer* Switchboard Wirer* Telecommunications Switch Technician","=""49-2022""","156.9","150.4","-6.6","-4.2","13.2","62,630","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Telecommunications line installers and repairers    * Cable Television Installer* FIOS Line Installer* Fiber Optic Technician* Telecommunication Lines Repairer* Telecommunications Line Installer* Telephone Cable Splicer* Telephone Lines Repairer* Telephone Lineworker","=""49-9052""","99.9","96.8","-3.1","-3.1","8.9","70,500","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Telemarketers    * Inbound Telemarketer* Outbound Telemarketer* Telemarketing Sales Representative* Telephone Solicitor* Telesales Representative* Telesales Specialist","=""41-9041""","67.4","52.5","-14.9","-22.1","6.5","34,410","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Telephone operators    * 411 Directory Assistance Operator* Directory Assistance Operator* Information Operator* Local Telephone Operator* Long Distance Operator* Telephone Exchange Operator","=""43-2021""","4.0","2.9","-1.1","-27.5","0.3","39,130","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller","=""43-3071""","347.4","302.5","-44.9","-12.9","29.8","39,340","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Terrazzo workers and finishers    * Granite-Chip Terrazzo Finisher* Marble-Chip Terrazzo Worker* Onyx-Chip Terrazzo Worker* Rustic Terrazzo Setter* Terrazzo Finisher* Terrazzo Grinder* Terrazzo Installer* Terrazzo Layer* Terrazzo Setter* Terrazzo Worker","=""47-2053""","1.5","1.3","-0.2","-11.1","0.1","57,260","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer","=""51-6061""","6.2","5.5","-0.6","-10.1","0.7","37,320","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
